What does a person who is considered good known for? Choices: compliments | green thumb | ride horses | contribution to society | wear outrageous clothing
They began to copulate, someone used spit to what? Choices: lubricate | mark territory | kiss | procreation | release tension
What will happen after answering questions incorrectly? Choices: children will learn | correct | embarassment | teaching | better grade
Where would you find many computers in a group of work spaces? Choices: office building | canteen | backpack | house | box
How do birds have babies? Choices: sing songs | sleep together | lay eggs | spread wings | reproduce
Where would you put a rubber stamp after using it? Choices: desk | art class | office | table | indiana
The potato wants to grow, where should it be placed? Choices: pantry | paper bag | underground | boiling water | drawer
Their union had settled and they would go off strike and what? Choices: demands were met | complaints had been addressed | be satisfied | get back to work | more money
What is needed mentally to ready one's self to begin detailed work? Choices: concentrate | shoes | apply for job | shave | shower
Where do kids go that does not involve water or buying something? Choices: swimming pool | airport | amusement park | disneyland | toy store
John bought a ferret at a pet shop.  He couldn't take it on the bus, so he called something else.  What might he have called? Choices: cousin's house | taxi cab | own home | friend | wood pile
What do you need to do with a friend before going to play? Choices: happy | sit | compete | meet | being entertained
If you're going on vacation on a deserted island what are you hoping to achieve? Choices: panic | having fun | relaxation | solitude | peace
I needed to send a piece of mail, where did I go? Choices: table | post office | neighbor's house | railway station | fridge
What is a way that people who are dating great each other? Choices: smack face | believe in god | work in teams | kiss each other | receive gifts
What country would you not find a marmoset in the continent south of North America? Choices: another place | venezuela | alabama | rainforest | foreign country
The teacher has activity planned the students probably won't enjoy--- what was it? Choices: work in school | school children | teach pupils | time test | demonstrate
If you were to take Communion on a Sunday morning, what you expect the glass on the walls to be? Choices: many different colors | hold water | break easily | dirty | shattering
Sally went to her office, which was on the 8th and top floor.  Where does she probably work? Choices: skyscraper | tall building | public building | school building | swimming pool
What does a couple do at the end of the sleighing ride? Choices: decline | going down hill | nausea | death | kissing
What does breathing do for living things? Choices: asthma attacks | satisfies hunger | sustaining life | warm air | giving life
What is the opposite of something being liken to something else? Choices: discern | distinguish | metaphor | discriminate | contrast
Where could you hear an organ being played? Choices: system | veterinarian | human body | cathedral | music store
If a person is supported by those closest to them what do they have? Choices: support group | get enough sleep | nice family | strong bones | compliments
Food is usually stored on what in your pantry? Choices: bottom floor | shop | kitchen | shelf | refrigerators
When can a person's death not be wanted by the person? Choices: cyanide | love | burial | suicide | murder
The child wanted his cereal bowl and knew he could reach it, where would he find it? Choices: breakfast food | china shop | kitchen cabinet | refrigerator | cupboard
James used an axe and a saw to chop wood, shape it, and make a shelter.  He kept adding wood to it, building it bigger and bigger, until it became a what? Choices: shelterbelt | tree | house | home | bus stop
What do you use when chatting with friends that aren't in the same place together? Choices: phone | computer | having friends | smoke | printer
One thing that you need to do when opening a business is to secure lots of? Choices: funding | capital | determination | llamas | creativity
What are armies having to do when the countries are waging war? Choices: suffering | killing people | death and destruction | people die | crying
What is a good thing about playing football? Choices: head injuries | having fun | death | concussions | getting hurt
In America, what is the nortern-most country where an apple tree can grow? Choices: fields | brazil | canada | spring | outside
Being able to forgive is a way to be what? Choices: learn | give hug | happiness | nice to | sex
Sam  spent time chatting with friends about important things because he wanted to get what? Choices: love | happiness | answers | communication | money
What part of us is virginia in? Choices: north | minnesota | united states | south | virginias
Where do kids gather in the entrance hall at the request of teachers? Choices: house | person | palace | school | hospital
If someone is committing perjury and it leads to convictions what has been committed? Choices: go to jail | falsehoods | mistrial | injustices | criminal prosecution
What happens when you cash in? Choices: happiness | sell stock | celebrate | withdraw | get money
If you are playing poker, what are you doing? Choices: recreation | losing money | game playing | distributing cards | fun
They saw a fox at the park, they tried to get their phones out quickly to get a what? Choices: outside | hen house | indiana | picture | phone numbers
The poet wanted to promote his new literature to literary majors, where did he go to do so? Choices: classroom | book store | university | study | home
He was hiking for miles, what did he suffer from? Choices: sweating | cramps | physical exertion | smile | deliriousness
Where is refuse stored for a long time? Choices: incinerator | wastebasket | waste basket | dump | garbage can
The woman spent her evenings working hard for herself. What did she do with her tasks? Choices: headache | popularity | take rest | accomplish goals | get laid
If someone were to gain a lot of fat their doctor will likely tell them to do what? Choices: lose weight | loosing | loosing | loss | reduce
Where would you write down a passage? Choices: labyrinth | bible | hotel | diary | journal
Where can you find many musician with people listening to them? Choices: studio | music store | stage | symphony | orchestra
Billy found himself agreeing with Dan. They knew each other since childhood.  They didn't need what to make an agreement? Choices: contract | friendship | harmony | compliance | death threats
Danny was a human.  He needed to catch a flight, but stayed to long in an object made for humans to relax in.  Where might he have been? Choices: bathroom | couch | airport | homes | bed
What do we do if we rise something and want to put it back down? Choices: fall | sun set | below | lower | place
The fight enemy choice had led him to a grave injury, he was now what? Choices: dying | victory | casualties | protect yourself | death
The teacher's pet loved answering questions, each correct answer brought her more what than the last? Choices: hate | confusion | satisfaction | teaching | panic
The person was sick of the cold rain, what did he long for? Choices: peace | drink water | all kinds of things | compliments | sunny days
His hotel had a view of a famous mountain, he sampled chocolates, and did more during his visit where? Choices: himalayas | pennsylvania | switzerland | picture | canada
Where could you find a long, dark passageway? Choices: cave | hotel | bathroom | airport | house
Where are magazines usually old? Choices: library | market | doctor | table | library
George hated changes to his salary. He wanted his supply  of money to be what? Choices: remain stable | stagnant | constant | unpleasant | permanent
Where do you send mail over a counter? Choices: post office | candy store | butcher shop | animals | kitchen
James bought a new monitor and unpacked it.   He discarded the packaging materials and connected it.  What did he connect it to? Choices: internet cafe | display images | box | view bluescreen | desktop
People use a knife to clean their catch on what vessel? Choices: table | kitchen drawer | fishing boat | pocket | board
The pioneer went to the general store for baking supplies, what was he looking for? Choices: baking soda | barrels | pepper | salt | small town
He wore out his dictionary as he worked on his what? Choices: determine word's definition | thesaurus | eat cake | novel | encyclopedia
What happens to a person falling? Choices: make person sick | pain | broken bones | going down | getting hurt
Sean wanted to go to the Met, so he took a subway stop in what city? Choices: new york city | toronto | large city | large city | metropolis
What do adults do at a cookout with friends? Choices: dress themselves | drive vehicle | drink beer | play games | smoke cigarettes
George was away from home for the first time.  He didn't have any place to go, so I offered to let him do what? Choices: relax here | stay here | come here | closer | available
If you're suffering from boredom what can you do on your mobile phone? Choices: talk to it | surf net | play cards | play chess | see new
If disneyland were to be built in California, why would planners choose that state? Choices: sea | windowsill | disneyland | desert | summer
If a person is shy, what do they feel when meeting people for the first time? Choices: anxiety | stress | being bored | smile | making new friends
What might be a reaction if I were to start communicating to others? Choices: engagement | people to think | exchanging ideas | distributed information | sharing of knowledge
What happens to the temperature if you turn up the thermostat? Choices: drop to zero | drop rapidly | gets colder | increase | heat up
Jane's baking oven was broken and she was afraid to use it.  She didn't want to burn what? Choices: pizza parlor | store | house | pie shop | stove
Some kids are shy in school, so taking a shower where can be intimidating? Choices: bath room | motel room | pool | locker room | at hotel
John would do anything because he didn't care.  He would do what? Choices: fall down | surprise | matter to | whatever | run
Where would you get an action figure if you do not have one? Choices: eat cake | little boy's toy box | theater | bathtub | toy store
He was studying anatomy, he knew that the main artery in his neck provided blood to his what? Choices: own brain | busy city | thruway | hand | neck
Where can fungus grow on walls? Choices: shower stall | salad | locker room | basement | bathroom
John couldn't arise from his position, so he remained at his desk. What might his position be? Choices: get down | kneeling | lie down | lay down | sitting down
What might have a drop of flood on their fingertip? Choices: needle | person | clock | test tube | battlefield
The heir to this country's throne isn't the prince of it. What country is it? Choices: fairy tale | egypt | england | europe | castle
Where might a child go who has no home? Choices: school | orphanage | most homes | recreational | pen
Crabs crawl along the bottom of what? Choices: bodies of water | fish market | aquarium | saltwater | galapagos
Why does this person eat so much? Choices: gain weight | promise to do | catch cold | finish food | fear death
Someone who gets nervous and doesn't know how to dance might do what when they attempt to start dancing? Choices: wallflower | stand down | sitting still | stand still | standing still
Almost everyone who has been driving a car has seen or been in a what? Choices: getting tired | go somewhere | water pollute | backache | automobile accidents
His want for more was insatiable, a what wasn't enough? Choices: presence | overabundance | stockpile | plentitude | morman
Where can you buy grapes directly from their growers? Choices: grocery cart | kitchen | fridge | fruit market | super market
Where would a woman keep a dollar bill? Choices: wallet | pocket | mailbox | buy coke | purse
James spent a lot of time walking long distances.   He walked not because he liked it, it made his feet sore, nut because it was his only means of what? Choices: lose weight | moving forward | blisters | locomotion | meditation
He never took for granted living in the land of the free, for he was once a what abroad? Choices: caged in | see work | slavery | topfree | prisoner
Most people have what which they use to carry things? Choices: two eyes | two hands | two arms | carry bags | ears
Nations agreeing with each other will lead to what? Choices: taco tuesday | like | problem | peace | contract
If I want to keep my floor covering down, what should I put the tack in? Choices: carpet | bulliten board | message board | bulletin board | wall
Lips are found on a person's what? Choices: body | knee | motion | faces | human face
Sam thought that his efforts were necessary, but in reality the accomplished nothing.  They were what? Choices: superfluous | useless | swap cs | unneeded | useless
What is a place that sells suntan lotion but not food or medicine? Choices: mini mall | shop | grocery store | pharmacy | drugstore
I was driving a car and had a heart attack at 80 mph, what awaits me? Choices: new car | wreak | getting somewhere | death | getting tired
People are genetically most likely to have this on top of their head? Choices: horns | two eyes | brown hair | drug problem | feelings
Where would you put condiments if you are planning to use them soon? Choices: kitchen | pantry | table | refrigerator | container
Sally bought bubblegum. Where might she have gotten it? Choices: supermarket | theater | street | pocket | church
what does getting divorce induce in someone who doesn't want it? Choices: freedom | joy | depression | anguish | tears
Where would you find a trash can while enjoying the great outdoors? Choices: water cooler | alley | park | food place | motel
He didn't have the attention span for reading book, so he would just what and pretend he was reading? Choices: sit | falling asleep | eat cake | learning | fall asleep
James owned a historic deli.  It had some protections that helped him keep it open.  It was an important landmark where? Choices: new york city | indianapolis | office building | shopping center | strip mall
If something is very hard but you just manage to be able to do it, it can be called what? Choices: controvertible | interesting | easy | agreeable | bearable
Where is the sky fake? Choices: shed | atmosphere | photo | outdoors | planetarium
Before the game some players knelt to pray, they did this because they what? Choices: being watched | you're scared | were religious | god hears | talk to god
What is the name of a place where cargo is stored? Choices: at sea | ship's hold | aeroplane | airplane | boat
Visiting museum was an emotional experience for the old veteran, he hid it best he could but he began to what? Choices: cry | whisper | appriciation | take pictures | feeling proud
The rooms in the experimental home were quite unique, they weren't the traditional what? Choices: posessions in | high walls | doors and windows | triangles | square shape
How does one decide if instituting a particular civil action is fair? Choices: restitution | anger | trial | court case | confusion
Where are people who do the same kind of work likely to gather? Choices: train station | convention | workplace | wedding | theater
What happens after eating dinner? Choices: heart burn | become tired | become full | flatulence | indigestion
What would cause a ship to stop moving? Choices: near shore | a romulian space craft | sail on sea | heading east | run aground
What is a train-related expression for exhaustion? Choices: have rest | run out of steam | go to sleep | tuckered out | stay in bed
Where would you find a lot of beds? Choices: bedford | rest area | neighbor's house | hospital | loft
Where can you find the tallest skyscraper in the mid-western U.S.? Choices: high population | manhattan | new york city | chicago | large city
What might having a check up lead to for some people? Choices: pain | good behavior | uncertainty | anxiety | stress
He was competing for the prestigious prize, though it had no money, what was he seeking by attempting to get it? Choices: enemies | rivalry | bad blood | accomplishment | game
The flour was stored away from the kids so they couldn't play with it, where was it? Choices: pantry | grocery store | cupboard | kitchen | table
The teacher explained it used a cathode ray tube like other screens, but this what measured things? Choices: vacuum tube | television | computer | cathode ray | oscilloscope
If a contract is not signed it will be? Choices: rejected | dumb | written on paper | signed | revised
Where can you find cord along side nails and bolts? Choices: delivery room | garage | sporting goods store | office | hardware store
The climber was suffering elevation sickness, his wits were suffering what? Choices: diminishment | reduction | depression | demotion | disgust
James was watching TV when he saw flashing lights that did something bad to him.  What might john have had? Choices: falling asleep | entertainment | scared him | headache | seizure
How much money should we print if we want to fight inflation? Choices: happiness | sense of accomplishment | not very much | dissatisfaction | saving money
What must someone have in order to shop? Choices: have money | sleep | bring flowers | go to market | get money
The always greeted each other with a kiss, it was a simple way to do what? Choices: manipulate | show affection | companion | seperate | electrical circuit
There was a dog, it was barking loudly.  James wasn't scared of it though, because it was confined.  Where might it have been confined to? Choices: backyard | kitchen cupboard | front door | table | park
The magician guessed it was a king, he was very good with a what? Choices: hierarchy | court | chess game | deck of cards | chess set
If you see cars with a light blinking on the driver's side what does that indicate they will do? Choices: slow down | go forward | get to town | turn left | turn right
If a person is looking at houses, what is their end goal? Choices: own property | cross street | bring home | will succeed | mortgage
The dairy cow farm was special, it provided all the milk for the big chocolate company from where? Choices: ranch | tennessee | barnyard | switzerland | antarctica
If playing the saxophone wasn't enough, she also had to learn the choreographed moves on the field to perform with the what? Choices: music store | actors | store sells instruments | marching band | orchestra
John spent an hour in the bath just relaxing.  He enjoyed the sensations of it. He liked doing what? Choices: invigorating | being clean | fall asleep | deep breathing | feeling good
You can see bald eagles along the Mississippi in what state? Choices: iowa | wisconsin | currency | new mexico | canada
James wanted to socialize more because he felt he lacked what? Choices: free time | entertainment | input | meet people | friendship
What country has the carpathians and is the furthest in the direction of the side that won the U.S. Civil War? Choices: slovakia | slovenia | poland | ukraine | romania
In the Roman Empire a person who was not of noble birth was called a what? Choices: inferior | plebeian | priest | common | ignoble
Where might a motionless horse be? Choices: washington | painting | race track | safari | farmyard
The farmer sought an apple tree cultivar that was hardy in the western United States, where was he looking to plant it? Choices: rhode island | texas | new york | idaho | new hampshire
What does a person want to get at a restaurant? Choices: self esteem | compliments | delicious food | easy life | fulfillment
The teenagers were celebrating irresponsibly, what were they doing? Choices: drinking | lude behavior | happiness | intimacy | enjoyment
The mom liked giving assistance to her children, why did she do it? Choices: law suits | feel loved | contractual obligation | happiness | out of pocket
What does the bird have in tree? Choices: forest | hope | sky | nest | roof
It seemed weird to have a dental office located next to a candy store and fast food location at the what? Choices: medical building | hospital | school | strip mall | urban area
What relatively small area is known for its steakhouses? Choices: maine | florida | arizona | kansas city | michigan
Most people recognize that earth experiences a set of distinct what? Choices: four seasons | one moon | cold tempurature | gravity | six populated continents
Why would a person stay in a relationship with  a man? Choices: acknowledgment | good lover | mercy | make others happy | low crime
How do you start family? Choices: spend money | get married | stressed | get pregnant | have sex
The playroom had many classic toys, the child spilled out each and every plastic monkey out of the what? Choices: captivity | puzzle | barrel | thailand | rain forest
When someone isn't ridiculous at all they are what? Choices: straightforward | serious | sad | somber | solemn
When not in a city where would expect to see a bald eagle? Choices: painting | aviary | rural area | zoo | colorado
The drawing room was one of fifty rooms, where was it located? Choices: kid's house | studio | large house | house in england | mansion
Joe thought that the reflected sunshine made something look beautiful.  What might Joe be looking at? Choices: desktop | moon | beach | street | a frying pan
If you have an empty glass and are thirsty, where would you put the glass? Choices: refrigerator | table | dishwasher | water cooler | dining room
Samantha decided to join the game, but there wasn't space. She had to stay on the waitlist until someone else did what? Choices: opt out | separate | opt out | leave | split apart
The drink was very sweet.  To maintain his calorie count, John thought that he should have less what? Choices: throw up | food | coffee | stumble | food
Graphite is referred to as lead in what writing implement? Choices: lead pencil | black | very heavy | news article | card game
What can we assume about people who get up early? Choices: go sleep early | ask spouse to wake | fix up alarm | go to bed early | get rooster
Where would you go to see a sword? Choices: container called scabbard | school | collection | museum | sheath
He was a bit of an audiophile, he replaced the stylus almost as often as he switched albums to listen to on his what? Choices: record player | palm pilot | hand | ink | fridge
Where does a lizard that needs warmth likely live? Choices: garden | new mexico books | tropics | china | forrest
The picture was clear,. Obviously, there had been a what? Choices: murky | dirty | confusing | invisible | misunderstood
What does everyone try their whole life to be? Choices: sad | happy | grow old | cat | believed
What causes meeting people to be preceded by meditation? Choices: being bored | panic attack | anxiety | making new friends | love
Billy hated watchign the turtle move.  He couldn't stand the silly parts.  He was annoyed by all of the what? Choices: ridiculous | enjoyment | relaxation | stupidity | like
Where would you go to argue about important bills? Choices: mail box | the post office | congress | restaurant | trash
Where would you be unlikely to find a freezer? Choices: own home | office building | garage | appliance store | flat
The lady had limited time and had to buy many things, where should she go? Choices: supermarket | grocery store | walmart | church | bathroom
Where would you get a freezer if you do not have one? Choices: icy cold | own home | garage | freeze food | appliance store
If you were doing housework and there was a lot of dust, what can it give you? Choices: arguments | dust poisoning | headache | exhaustion | boredom
The first or second floor is the safest from fire when you sleep where away from home? Choices: house | office building | parking space | school | hotel
Everyone crowded around the toilet during a break in the event, where was the toilet? Choices: restaurant | stadium | space shuttle | mall | bathroom
When chatting with friends you admire, what are you hoping to achieve? Choices: feel close to | exchanging information | love | social approval | exchanging smiles
There was no food in Danny place.  He had to go across the road and ask for some. Where might he have asked for food? Choices: kitchen | military base | shelf | neighbor's house | restroom
Sally and Joe were burned by chemicals because they ignored the signs.  She had chemical burns in her vagina.   Where might they have been? Choices: swimming pool | beach | crystal meth lab | chemistry lab | laboratory
The board game instructed that you must conquer opponent, only the what would come out on top? Choices: top piece | strong | win | total domination | best
What happens when friends observe something at the same time? Choices: travel together | borrow money | conspire | visit each other | see like
John didn't like eating the hamburger.  It made him feel what? Choices: enjoy | satisfaction | sad | death | nausea
Where would you find a group of travellers who are travelling by road? Choices: stop | bus depot | rest area | train station | airport
Steve breathed in deeply, using his diaphragm.   The diaphragm is a muscle.  Name something that has muscles? Choices: human | woman's body | valve | pay debts | drugstore
What doorway is likely to have a large wooden door? Choices: home | airport | skyscraper | castle | every building
Where could you find a monkey, elephant, or zebra enjoying a drink? Choices: african continent | bar | amazon basin | research laboratory | friend's house
John saw an insect using its legs to do this.  Mary saw some insects using their wings to do this.   What is this? Choices: buzz | sense vibrations | move | eat | fly
What is the best course of action for a person to take if they want to get up early? Choices: go to bed early | fix up alarm | go sleep early | dawn | ask spouse to wake
Where are you when you need a pencil during a advanced theoretical physics speech? Choices: desk drawer | home | university | classroom | pocket
Art, playing music, and other hobbies are great ways of expressing yourself that can be great what? Choices: fight | communication | fun | understood | suffering
Where is a variety of birds likely to be? Choices: store | park | forest | air | countryside
The living conditions were poor, but the building wasn't condemned as they were still barely what? Choices: adequate | poormouth | rich | enough | good
Which coast are toll roads not near the pacific ocean on? Choices: delaware | new jersey | eastern united states | connecticut | good repair
Where would you put tin after you buy it? Choices: hardware store | antique store | shopping bag | shed | landfill
Where can you buy clothing, sporting goods, and housewares? Choices: backpack | house | department store | mall | table
Where can you take your kids to buy things for them to play with? Choices: disneyland | jungle | swimming pool | toy store | home
When they say dogs are a man's best friend, they aren't talking about just whats? Choices: four legs | males | electrical circuit | pet | sniff
When a person climbs a mountain and is breathing fresh air, which feeling are they likely to have? Choices: exhilaration | clear head | feeling better | reviving | happiness
What might an unsuccessful writing program cause? Choices: unexpected results | bugs | satisfaction | frustration | aggrevation
Where is a flute likely to be in a pit? Choices: party | orchestra | musical instrument store | marching band | symphony
Sometimes people say that someone stupid has no what? Choices: names | dress | brains | brown hair | two eyes
Where would you put a ficus if you do not want it to get your carpet dirty? Choices: ground | arboretum | apartment | refrigerator | california
She was distracted in thought in class, she felt alone even what? Choices: with someone | many people | with others | surrounded | in crowd
Where could you make a hole with your fist? Choices: swiss cheese | football ground | ground | golf course | wall
Where would you find a tennis court made from red clay? Choices: new york | wimbledon | town | country club | health club
If you legs are tired and you need to have a rest you should do what? Choices: sleep | sit down | go to bed | run | closing eyes
What happens to most people after playing tennis all day? Choices: championship | becoming tired | tennis elbow | victory | friends
Where does a television often display sports? Choices: restaurant | living room | bar | apartment | house
The animals all knew the importants of fluids.  They also knew what was safe to do what? Choices: drink | feel pain | bite | fly | gay
After the sex she had spent the night at his house, he got up early to make and what? Choices: love another | coffee | smoke | eat breakfast | wait for
The king gave a speech about it being an auspicious day, but he was assassinated in the middle of it making it actually what? Choices: ominous | coincidental | ruinous | inauspicious | disastrous
When having food it is common to do what other act of consumption? Choices: drinking | playing poker | sit | talk | being greedy
What might someone do too much  of if they are experiencing stress? Choices: clean house | use drugs | drink alcohol | hang out at bar | dream
Where does a small farmer keep a potato after it's done growing? Choices: root cellar | own kitchen | clam chowder | desk drawer | kitchen cabinet
How can people gain new perspectives? Choices: waste paper | tickle tarantulas | pay bills | change direction | travel abroad
If a murderer killed people related to one's family, the family members would feel what when crying? Choices: remorse | retaliation | terrible | anguish | wet
Where would seats be used to watch a movie? Choices: cinema | movies | hockey game | theater | opera
John is an omnidiciplinarian. Where might he find success? Choices: ocean | working hard | various situations | michigan | awards ceremony
If I wanted to go through a door, but it was closed, what would I have to do to it? Choices: keep people out | enclose cupboard | teleport | glass | open
The small child liked looking at all the pictures of the animals and hearing his mom say the accompanying rhymes, but the jellyfish was his favorite animal in the whole what? Choices: japanese restaurant | lake | zoo | book | current
If you're wet cleaning a floor while doing housework, what do you need? Choices: fan | energy | vacuuming | mop | broom
Beautiful lightning strikes happen on what kind of day? Choices: november | rainy | dull | wet | average
Drinking alcohol can make me lose this? Choices: socialize | eating | fool | dance | sleep at night
What are you likely to see on Independence Day? Choices: groundhog | construction site | landmine | army | fireworks display
Where can a shirt be found in a hotel room? Choices: closet | drawer | garderobe | shelf | suitcase
What do you do to make sure that you are remembering? Choices: bad time | closing eyes | answering question | stopping to think | forgetting
Where can I drink beer or any other alcoholic beverage? Choices: bar | vending machine | bottle | refrigerator | hockey game
After killing people in a rage what is someone likely to feel? Choices: stomach ache | retaliation | sadness | remorse | going to jail
Who is likely to use too much salt? Choices: shaker | fast food restaurant | kitchen cupboard | people | table
What did the friendly man do when meeting knew people to show he was happy? Choices: say hello | start a conversation | introducing yourself | shake hands | smiling
Where does the sun set? Choices: outer space | horizon | beach | west | beans
What is likely to someone in a skiing accident likely to have in more than one place? Choices: frost bite | broken bones | chapped lips | healthy body | broken legs
John tried his best to care for Kate, but Kate kept throwing herself into danger.  He couldn't stand her what for her own safety? Choices: unfeeling | disregard | indifferent | neglect | apathetic
The agent of change had a loath feeling for the king, he would set for a plan to have him what? Choices: recycled | inclined | disposed | avid | enthusiastic
A poet may need to go where to achieve learning as an adult? Choices: classroom | english class | university | book store | home
Where would a kitchen towel be found? Choices: cupboard | at hotel | linen closet | under a rock | locker room
Answering questions followed by saying, "sir" or "ma'am" is an indication that you are what? Choices: irritation | correct | responding | polite | sadness
Matt had issues controlling his anger, what did he do when someone set him off? Choices: destroy enemy | punch | cool off | write letter | illustrate point
When two people are doing the same thing, what do they tend to do? Choices: read stories | compete | help | solve problems | give orders
Billy liked going to the party.  He enjoyed mixing.  He liked to do what? Choices: plan | meet new people | getting drunk | have fun | the watusi
After checking in at the ticket office the couple entered their prom in the school's what? Choices: movie theaters | end of line | football field | auditorium | opera house
What would a person do if they saw a bully make a person cry but they wanted no trouble? Choices: courageous | step up | keep walking | cross street | do nothing
The hipsters tried to take a disingenuous kooky approach to their cafe, they were soon out of business to the competitor who took what kind of approach? Choices: mainstream | straight | right | conventional | uneccentric
Where is a ballpoint pen best stored? Choices: pocket | stationery store | backpack | desk drawer | bank
If you cut when waiting at the ticket office, what should your punishment be? Choices: auditorium | humans | opera house | death | end of line
Success is usually a product of preparation and what? Choices: awards ceremony | various situations | vocation | working hard | promotion
What professional space is likely to have an air conditioner? Choices: office building | texas | house | humid | warm climates
The key to happiness while living life is to do more than what? Choices: existing | happiness | early death | acquiring knowledge | being idle
He had said he would cook dinner, but first he needed to what? Choices: hungry | buy a kitchen | buy food | buy groceries | eat food
Stopping being married to each other might seem like a negative thing as it is an end, but it can also be a beginning that brings what? Choices: grief | confusion | relief | depression | happiness
James and Jenny are good friends.  They spend a lot of time together and usually get home late.   Jenny is very smart and James likes to hear her doing something. What might James like to hear Jenny do? Choices: tell story | sing | clean room | going out at night | jump rope
If I go to a bank to get money, where could I go next to get household items and food? Choices: city | financial center | main street | grocery store | salon
If someone is free from guilt what are they likely to achieve? Choices: peaceful sleep | freedom from want | medal | headache | new computer
Danny hasn't experienced all that it means to be human yet.  He is missing something important.  What might he be missing? Choices: space shuttle | library | school | love | wife
What is it called when two people have the same point of view? Choices: make love | when they hug | shake hands | agree with each other | work together
What could happen after you were hiking for only a short time? Choices: adventure | smile | cramps | sweating | give up
Where might people gather while they are waiting for a ride across town? Choices: wedding | bus stop | convention | pool | apartment
I want to make a fortune selling houses, what should I study? Choices: real estate | treasure chest | stock market | business | bank
She had a bad habit of washing hands over one thousand times a day, what did she experience as a result? Choices: health | become wet | skin irritation | dry skin | medium
If there are people watching a priest, what is he doing? Choices: on trial | drink coffee | believe in god | baptise | say mass
What can you do while driving to work that involves sound but does not require you to move your mouth? Choices: anger | listen to radio | speed | sing | statue
Where does a marmoset roam free? Choices: rainforest | kitchen | wilderness | dictionary | burrow
What form of government is most associated with kingdoms? Choices: monarchy | ruled by government | europe | book | king
Manny refused to give the court respect, and was charged with what? Choices: dishonor | contempt | humiliate | disdain | scorn
Where does the red cross respond to a storm? Choices: summer | tropics | blue shield | weather report | america
The sloth of a man was convicted of the crime caused by his apathy, he would spend at least a hundred hours finally doing a what? Choices: commercial | three toed | civil service | paraguay | costa rica
They were all sitting down and getting comfortable, this doesn't always necessarily require a what? Choices: legs | chair | laziness | floor | sit on
The dog loved to run after ball, it would do it over and over until it would what? Choices: get tired | ball stopped | fall and hurt yourself | breathe | catching
Where can a human relax? Choices: workplace | park | church | war zone | jail
Where could you find many people standing inside? Choices: school | supermarket | street corner | public place | space shuttle
What can large amounts of water do over long periods of time? Choices: room temperature | thin blood | make parks | take several forms | move mountains
What does going to party with the opposite sex lead to? Choices: get drunk | meet new people | drinking beer | enjoy yourself | having sex
Where would children go to see different animals? Choices: school | zoo | soccer game | disneyland | cricket stadium
What can be the feeling of someone  giving assistance? Choices: death | trouble | happiness | pleasure | feeling good
John lives in a farmhouse.  There are many farmhouses close together.  You might describe this place as what? Choices: farming community | city | rural area | framer | michigan
